Quarterly Monetary Aggregates (N'Million),,,,,,,,,,
Year,NFA,NCG,Credit to Core Private Sector,Credit to State & Local Govt,Reserve Money,Narrrow Money (M1),Broad Money (M2),PSDD,DMBs Deposits at CBN,CIC
1960,,,,,,,,,,
Q1,158.2,1.1,69.9,0,106.5,185.8,231.8,99.4,3.8,104.7
Q2,142.7,13.5,73,0,105,182.8,234.9,89.6,0.5,104.5
Q3,144.7,12.1,80.1,0,127.8,180.8,233.9,88.9,11.2,116.4
Q4,150.3,8.3,109.3,0,157.1,217.6,272.4,82.3,2.9,154.2
1961,,,,,,,,,,
Q1,153.1,11.3,99.1,0,139.8,217.7,275.8,93.2,2.7,136.9
Q2,145.9,23.6,97.9,0,140,201.3,257.8,85.6,6.3,133.6
Q3,131.9,34.8,96.5,0,132.5,190.9,255.9,78,4.6,127.8
Q4,163.6,26.6,117.1,0,167,222.3,292.8,84.1,6.8,160.2
1962,,,,,,,,,,
Q1,155.1,27.1,122.6,0,146.9,212.5,291.7,86.7,5.3,141.6
Q2,139.4,33.4,124.2,0,142.1,203.3,279.4,81.2,4,138.1
Q3,136.3,28.3,126.7,0,136.5,199.9,282.4,80.3,1.8,136.6
Q4,156.3,38.2,148.8,0,177.5,242.1,325.4,92.2,2.9,174.7
1963,,,,,,,,,,
Q1,136.1,23.4,140,0,152.1,241.1,324.2,104.9,2.1,150.1
Q2,127.7,25.8,143.4,0,145.5,213.3,302.1,87.8,1.7,143.5
Q3,143.8,26.4,144.4,0,152.2,219.3,307.8,84.4,2.3,149.9
Q4,133.5,67.1,170.5,0,185.5,267.6,361.8,98.6,2.2,183.3
1964,,,,,,,,,,
Q1,122.1,49.6,157.2,0,163.3,262.9,362.9,111.6,2.3,161
Q2,123.6,58.2,157.3,0,155.8,249.2,358.3,105.1,2,153.8
Q3,130.3,59.9,171.9,0,163.9,261.8,371,110.6,2,162
Q4,124.9,83.1,223,0,217,316.1,430.5,118.2,2.3,214.7
1965,,,,,,,,,,
Q1,112.8,74.4,197.7,0,188.7,304.4,428.4,129.1,2.7,186
Q2,124.8,71.6,194.9,0,176.6,276.5,405.1,113.6,2.6,174.1
Q3,155.7,77.8,187.9,0,177.3,282.3,420.5,118.5,1.8,175.5
Q4,154.5,80.5,232.6,0,220.5,326.4,457.4,125.4,2.6,217.9
1966,,,,,,,,,,
Q1,143.9,86.7,208.3,0,202.3,314.6,464.5,129.3,5,197.2
Q2,150.4,96.1,195.3,0,194.1,305,459.8,124.7,2.2,192
Q3,149.5,114.8,205,0,199.7,292.3,454.4,110.8,4.5,195.2
Q4,126.5,136.2,245.6,0,239.9,355.6,518.1,138.5,3.4,136.5
1967,,,,,,,,,,
Q1,124.2,134.7,231.3,0,224.8,366.7,541.5,164.6,7.7,217.1
Q2,89,191.3,167.9,0,225.1,310.4,437.4,107.8,13.7,211.3
Q3,74.5,199.5,202.5,0,218.3,299.3,428,101.4,11,207.3
Q4,46.7,191.4,241.5,0,226.7,320.1,451.3,113.7,5.8,221
1968,,,,,,,,,,
Q1,34.1,238.8,209.7,0,151.8,267.8,409.5,131.4,5.2,197.5
Q2,75.7,276.4,191.3,0,147.1,255.3,407.2,121,3.3,200.8
Q3,64.9,286.3,190.4,0,153.2,269.9,429.4,129,2.9,210.9
Q4,64.2,351.4,222.8,0,205.7,331.8,515.3,148.7,3.5,273.2
1969,,,,,,,,,,
Q1,71.7,451.2,177.3,0,202.7,345.1,554.8,163,5.2,283.1
Q2,73.9,414.8,191.8,0,205.5,354.9,558.5,168.1,4.7,309.5
Q3,73.8,421.7,194.9,0,215.3,346.2,542.6,150,4.4,335.6
Q4,87.8,512.2,249.7,0,277.9,445,660.4,192.3,4.7,370.4
1970,,,,,,,,,,
Q1,88.5,614.9,223.4,0,293.6,532.4,767.2,268.2,11.7,263.1
Q2,82.2,596.9,242.7,0,317.6,523.3,800.9,233.1,9.8,309.5
Q3,105.4,660,281.8,0,345.9,570,874.4,253.2,6,335.6
Q4,128.2,768.6,351.7,0,388.9,641.5,978.2,299.1,6.4,370.4
1971,,,,,,,,,,
Q1,152.2,800.4,389.3,0,376,672.3,1038.2,329.7,11.7,364.3
Q2,225.6,751.5,439.1,0,358.7,626.5,976.1,298.8,9.8,348.9
Q3,181.2,711.2,457.1,0,368.2,609.7,974.8,271.7,6,362.1
Q4,267.5,597.2,502,0,,670,1041.8,315.6,6.4,386.4
1972,,,,,,,,,,
Q1,228.6,515,516.2,0,388.7,679.4,1079.1,331.3,14.2,374.5
Q2,206.7,564.3,546.2,0,369.9,652.7,1072,318.8,11,358.8
Q3,229.4,607,553.2,0,389.2,700.1,1138.9,354.2,15.7,363.5
Q4,229.5,606.3,626.7,0,428.9,747.4,1214.9,362.2,14.9,414
1973,,,,,,,,,,
Q1,276.4,278.8,589.4,0,422.4,824.4,1318.5,444.7,10.6,411.8
Q2,325.6,-123.1,620.6,0,403.1,801.2,1318,434.9,4,399.2
Q3,288.6,-849.5,642.3,0,418.1,803.6,1361.9,421.9,3.1,415
Q4,403,-1277,763.6,0,501.7,925.8,1522.5,489.9,15.4,486.3
1974,,,,,,,,,,
Q1,810.2,-1240.6,766.8,0,503.2,1004.2,1659.4,543.8,7.9,495.2
Q2,1496.7,-1142.7,797,0,544.3,1095.8,1864.5,621.8,33.3,511
Q3,2500.1,-663.5,855.6,0,639.4,1218.8,2128.4,725.5,94.4,545.1
Q4,3492.5,-453.9,966.7,0,744.1,1357.2,2352.3,787.3,105.4,628.7
1975,,,,,,,,,,
Q1,3714.3,239.8,1015.9,0,1460.5,1908.4,3004.9,1081.7,554.4,906
Q2,3766.3,-68.6,1181.5,0,1325.9,2084.1,3317.7,1165.2,323.4,1002.5
Q3,3515.7,-9.2,1434.1,0,1362.1,2198.9,3590.2,1248.7,313.5,1048.6
Q4,3533.2,845.5,1672,0,1859.4,2605.4,4241.2,1574.7,703.9,1155.5
1976,,,,,,,,,,
Q1,3308.8,1523.5,1767,0,2356.2,3299,4987.2,2190.1,1123.6,1232.6
Q2,3597.2,1239.3,1963.2,0,2625.2,3196,5108.1,2076.7,1393.4,1231.9
Q3,3536.8,1286.9,2152.9,0,2895,3334.7,8303.8,2136.5,1571.1,1324
Q4,3170.2,1353.8,2464.4,0,2445.2,3864.1,5905.1,2513.9,905.2,1540
1977,,,,,,,,,,
Q1,3079.8,2609.2,,0,2506.3,4682.4,6817.6,3193.2,842,1664.3
Q2,3002.1,2948.6,,0,2669.8,4662.4,6789.3,3118.7,977.1,1692.7
Q3,2908,3165.9,,0,2752,5182.9,7348.4,3517.2,931.3,1820.8
Q4,2722.3,3808.4,,0,2792.6,5557.8,7898.8,3617,630,2162
1978,,,,,,,,,,
Q1,2387,2377.6,3883.8,0,2854,5719.4,8077.7,3639.8,563.7,2290.3
Q2,1666.4,2231.4,4094.9,0,2786,5602.2,8167.3,3526.7,520.2,2265.8
Q3,1107.2,3015.8,4273.4,0,2709.4,5866.7,8554.8,3820.7,478.3,2231.1
Q4,1192.9,2504.4,4513,0,2898.6,5260.7,7985.4,3103.5,516.9,2381.7
1979,,,,,,,,,,
Q1,1473.9,3604.5,4573.7,0,2784.2,5567.8,8376.6,3420.4,469.4,2314.8
Q2,1895,2488,4807.8,0,2961.9,6080.4,9183.7,3952.2,631.8,2330.1
Q3,2735.8,4315.7,4915,0,3052.1,6621.9,10188.8,4485.8,553.8,2498.3
Q4,3232.2,3365.6,5399.6,0,3083.4,6351.5,10224.6,4000.7,380,2703.4
1980,,,,,,,,,,
Q1,3811.8,3597.9,5603,0,3626.2,7333.1,11587.7,4907.7,958.4,2667.8
Q2,4632,2307,6050.9,0,3268,6775.2,11411.3,4319.5,497.5,2770.5
Q3,5661.5,1655,6696.1,0,3551,7734.4,12543.4,5077.7,600.2,2950.8
Q4,5622,3567.8,7457.8,0,4797.5,9650.7,15100,6464.8,1208,3588.5
